,news,date
162,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
163,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
164,N180bn Customs boats lay waste eight years after,"October05,2023"
165,Electricity: 47 companies bid for W/Bank’s 1.25m meters worth $155m,"October05,2023"
166,Security threat in GoG: MARAN lead discussion on maritime security,"October05,2023"
167,"Customs, DSS collaborate to curb smuggling","October05,2023"
168,Customs assures Polish investors trade facilitation,"October05,2023"
169,N180bn Customs boats lay waste eight years after,"October05,2023"
170,Security threat in GoG: MARAN lead discussion on maritime security,"October05,2023"
171,"Customs, DSS collaborate to curb smuggling","October05,2023"
172,"Afri-Exim, ICRC approve $1.2bn for moribund Burutu port","October05,2023"
173,"Chemical, Non-Metallic manufacturers say sector is bleeding","October05,2023"
174,Subsidy removal: Coys’ distribution cost jumps to N155bn in Q2’23,"October05,2023"
175,"W/Bank paints gloomy picture of growth in Nigeria, others","October05,2023"
176,"Naira loses, exchanges at N756.21 to the dollar at investors, exporters window","October04,2023"
177,OPEC reviews output data as oil prices drop 8% to $89.36 per barrel,"October04,2023"
178,"REA, SON, others make case for local manufacturing of solar components","October04,2023"
179,"AIICO Insurance advocates increased digital sales of insurance products, services","October04,2023"
180,Stanbic IBTC Insurance launches comprehensive funeral expenses cover,"October04,2023"
181,Nigeria’s rising external debt sustainable — experts,"October04,2023"
182,Price of cooking gas rises 17% as operators expect further rise,"October04,2023"
183,NDIC begins payment N16bn to 20 defunct banks’ stakeholders,"October03,2023"
184,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
185,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
186,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
187,FCMB celebrates team service,"October03,2023"
188,"Nigeria, other African nations commit to develop 620trn cubit feet of gas reserves ","October03,2023"
189,Manufacturers query FG’s 6months VAT waiver on diesel,"October03,2023"
190,Mutual Funds investment rises 41.6 % to N1.9 trn in 8 months,"October03,2023"
191,How to grow a micro or small business – Dr Jennifer Seidu,"October03,2023"
192,Stakeholders commend Int’l Breweries on ,"October03,2023"
193,Dollar now underground currency of Nigeria’s economy — Peter Obi,"October03,2023"
194,NGX in the throes of booby trap,"October02,2023"
195,Tinubu’s economic agenda and Nigeria Customs Service,"October02,2023"
196,Mohbad: Rethinking insurance for entertainment industry,"October02,2023"
197,"Banking industry is safe and sound, says CBN","October02,2023"
198,PenCom’s milestones on CPS implementation,"October02,2023"
199,DEVALUATION: Banks rake in N1.9trn forex profit,"October02,2023"
200,Stock market in wait-and-see over direction of new CBN team,"October02,2023"
201,"UBA: Leadership in profitability, global diversification","October02,2023"
202,Boom and bubble in capital markets,"October02,2023"
203,How to grow a micro or small business – Dr. Jennifer Seidu,"October02,2023"
204,"STRIKE: Nigeria to lose over N50bn on Day One, experts warn","October01,2023"
205,Insurers to hit N1trn gross premium target through electronic covers,"September29,2023"
206,Customs to dedicate terminal to boost export trade,"September29,2023"
207,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
208,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
209,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
210,Proparco to resolve Nigeria’s entrepreneurial challenges in 5yrs,"September29,2023"
211,INFLATION: Manufacturers’ unsold goods up 45.4% to N272bn,"September29,2023"
212,Naira down to N1005/$ in parallel market,"September29,2023"
213,"We ‘ll tackle forex shortage, Cardoso assures  investors ","September28,2023"
214,Rising inflation pushes manufacturers’ unsold goods up 45.4% to N272bn,"September28,2023"
215,Bank customers pay N154bn fees for e-banking services,"September28,2023"
216,NNPC $3bn loan: Afreximbank opens funding talks with oil traders,"September28,2023"
217,"Access Bank enhances agric desk, launches Devt Desk","September28,2023"
218,FG declares NIMASA as the most digitally transformed agency,"September28,2023"
219,Pension account registration declines further in Q2’23,"September28,2023"
220,Currency outside banks rises 4% to N2.29trn ,"September27,2023"
221,"“Reduce fiscal deficit by 3% of GDP”, IMF charges Nigeria, others","September27,2023"
222,NOVA Merchant Bank sponsors paediatric surgery of  50 children,"September27,2023"
223,BoI boss bags African banking award in New York,"September27,2023"
224,I’ll implement immediate measures to ensure naira stability – Cardoso vows,"September26,2023"
225,NGX seeks regulatory reforms to attract more listings,"September26,2023"
226,Access Holdings gross revenue rises 58.9% to N940.3bn ,"September26,2023"
227,"EXPORT: Customs partner NPA, NEPC to establish processing terminals","September26,2023"
228,Listed FGN Bonds crash 99.9% to 148bn,"September26,2023"
229,Lac Truck Service Station expands to meet growing demand in Nigeria,"September26,2023"
230,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
231,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
232,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
233,"Manufacturers incur heavy losses as forex crisis, inflation bite harder","September25,2023"
234,Unimpressive macro environment depresses stock market,"September25,2023"
235,New leadership emerges at ISN to boost Nigeria’s innovation ecosystem,"September25,2023"
236,NG Clearing announces new CEO pending SEC approval,"September25,2023"
237,"Transcorp champions environmental projects, promotes","September25,2023"
238,"Manufacturers incur heavy losses as forex crisis, inflation bite harder","September25,2023"
239,NLC battles OPS over stand on planned nationwide strike,"September25,2023"
240,Nigeria’s trade with Africa up 40.8% to N1.84trn,"September22,2023"
241,ICSAN inaugurates 11 sectoral groups to boost operations,"September22,2023"
242,Hardship: Contributors withdraw N7.6bn from pension savings,"September21,2023"
243,CBN unveils online platform for submission of MfBs license application,"September21,2023"
244,"Delisting of GSK, PZ, others to wipe N205bn from stock market cap","September21,2023"
245,APM Terminals Apapa celebrates 2023 global safety day,"September21,2023"
246,ELECTRICITY METERING: NERC orders DISCOs to refund customers,"September21,2023"
247,"Pressure on petrol, diesel prices as crude hits $97.17","September21,2023"
248,FIRS eyes 18% GDP to tax ratio in 3 yrs,"September20,2023"
249,"TAJBank, CEO win global Islamic banking awards 2023","September20,2023"
250,Electricity supply crashes 97% to 88MW as grid collapses again,"September20,2023"
251,"Chams HoldCo lists key achievements, assures investors","September20,2023"
252,Corruption: US urges Nigeria to digitise govt services,"September19,2023"
253,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
254,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
255,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
256,Youth employment is key to nation’s growth  — Dangote,"September19,2023"
257,Inflationary pressure depresses FGN Savings Bond by 14.4%,"September19,2023"
258,CSAdvance rebrands to CardinalStone Finance,"September19,2023"
259,Kreston OUC becomes Ecovis OUC,"September19,2023"
260,"Nigeria in revenue crisis with huge public debt — Adedeji, new FIRS boss","September19,2023"
261,"Fidelity Bank: Fresh capital for growth, global expansion  ","September18,2023"
262,Experts set agenda for inclusive economic growth,"September18,2023"
263,"Pension contributors, retirees agitate as unresolved complaints pile up","September18,2023"
264,SEC pushes for 50 Shari’ah-compliant products listings worth N5trn by 2025,"September18,2023"
265,Technology deployment can ease port operations — APM Terminals,"September18,2023"
266,Stock market softens despite banking sector H1’23 results,"September18,2023"
267,"NNPCL appoints vice presidents for upstream, downstream and gas","September17,2023"
268,Africa leading market frontier with huge untapped potential – Adesina,"September16,2023"
269,ABCON seeks merger of BDCs not industry recapitalization — Gwadabe ,"September15,2023"
270,CBN drives investments for rehabilitation of moribund ports,"September15,2023"
271,"Naira continues fall, depreciate to N950/$ in parallel market","September15,2023"
272,Maersk unveils world’s first bio-methanol container ship,"September14,2023"
273,Forex scarcity sends Naira tumbling to N930/US$,"September14,2023"
274,Stakeholders play blame game as power generation crashes 59%,"September14,2023"
275,Expert advocates utilization of pension funds to bridge infrastructure gap,"September14,2023"
276,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
277,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
278,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
279,100 Days: Economy reforms have made life more difficult  — Financial experts,"September14,2023"
280,$600m trapped funds: Tinubu directs CBN to meet foreign airlines,"September14,2023"
281,$600m trapped funds: Tinubu directs CBN to meet with foreign airlines,"September13,2023"
282,UBA records 371% increased profitability to N404bn in H1’23,"September13,2023"
283,Pensioners seek improved welfare from govt,"September13,2023"
284,"Customs impounds vehicles, used tires, others worth N813m","September13,2023"
285,CBN orders banks to save FX revaluation gains,"September13,2023"
286,Climate Change: Dangote steps up efforts to mitigate Green House Gas emission,"September13,2023"
287,World Bank raises concerns over Nigeria’s macroeconomic management,"September13,2023"
288,UAE visa ban lifting’ll transform stock exchange — Otedola,"September13,2023"
289,Seafarers welfare key to a productive maritime sector — NIMASA boss,"September13,2023"
290,FCMB’s SheVentures launches interest-free loans for female exporters,"September13,2023"
291,"Naira gains at investors, exporters window","September12,2023"
292,CBN orders banks to save FX revaluation gains as buffer against economic shocks,"September12,2023"
293,"Bank of Industry grows assets by 67%, profit by 177%","September12,2023"
294,ABCON seeks  BDCs digital autonomy for exchange rate convergence,"September12,2023"
295,Import bills on used vehicles rise 375% to N803.4bn,"September12,2023"
296,"Nigeria, India on track for improved trade relations — Trade minister","September12,2023"
297,Zenith Bank’s gross earnings jump 139% to N967.3bn in H1’23,"September12,2023"
298,"Naira depreciates at investors, exporters window","September12,2023"
299,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
300,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
301,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
302,UBA Foundation launches 2023 national essay competition,"September12,2023"
303,"Oil price rises to $92.79 on output cut, may hit $107","September11,2023"
304,Fresh inflation fears as top firms lose N656 bn to forex market woes,"September11,2023"
305,Investors on bargain-hunting while awaiting Tier-1 banks’ results,"September11,2023"
306,Controversy trails sale of Eni onshore oil assets to Oando,"September11,2023"
307,"United Nigeria gets approval for flights to USA, UK, UAE, others","September10,2023"
308,Gas Resources: Tasks before ,"September10,2023"
309,"Four African presidents, AfDB’s Adesina, Dangote, Oramah, others for 2023 African Brands Congress","September10,2023"
310,"Nigeria is a huge market, Elumelu woos Indian investors","September08,2023"
311,Nigeria records N1.3trn trade surplus in Q2’23,"September08,2023"
312,"Nigeria’s fiscal deficit to decline in Q3, Q4 2023 — MPC","September08,2023"
313,Capital market can finance PPP infrastructure projects — SEC DG,"September08,2023"
314,Customs boss removes defaulting banks from duties collection,"September08,2023"
315,Electricity: NERC orders DisCos on handling of consumers’ complaints,"September08,2023"
316,Manufacturing sector tops tax revenue contributions in H1’23,"September08,2023"
317,NPA moves to meet IMO’s 2025 targets on port community system,"September08,2023"
318,Women in energy sector launch business directory,"September08,2023"
319,Naira appreciates at I & E window,"September07,2023"
320,Nigeria records N1.28 trn trade balance in Q2’23,"September07,2023"
321,Divestment: NNPCL challenges Oando acquisition of Agip’s oil assets,"September07,2023"
322,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
323,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
324,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
325,MPC recommends slow increase of MPR to cushion banking system,"September07,2023"
326,"Oyetola expresses interest in NIMASA Floating Dock, lists agenda","September07,2023"
327,We’ll engage Customs to evacuate overtime cargo — Minister,"September07,2023"
328,"Passenger traffic, revenue in rail transportation rising — NBS","September07,2023"
329,Sanlam drives uptake of motor insurance with new sales outlet,"September07,2023"
330,Leadway Assurance supports farmers amidst anthrax outbreak,"September07,2023"
331,"Tinubu, Stockbrokers’ Pain Points and Market Reform","September06,2023"
332,"How to create, execute profitable business ideas – Dr Adewakun","September06,2023"
333,Strengthening regulatory oversight for improved services in pension industry,"September06,2023"
334,Accessing the Capital Market through Primary Market,"September06,2023"
335,How to make claim on motor insurance,"September06,2023"
336,Terminal operators support Oyetola’s effort to harness Blue economy,"September06,2023"
337,CBN worried over local fish production despite Anchor Borrower Scheme,"September06,2023"
338,Net forex inflow rises 24% to $7.2bn,"September06,2023"
339,Lagos records 55 %increase in commuters via waterways,"September06,2023"
340,Senate set to amend law on cross border trade,"September06,2023"
341,"SUBSIDY IS GONE: Nigerians, economy also going, but…","September05,2023"
342,FOREX POLICY & INFLATION: Infidelity foretold,"September05,2023"
343,FG trains MDAs on 2024 budget preparation,"September05,2023"
344,Tax revenue rises 17% to N3.48trn in H1’23,"September05,2023"
345,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
346,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
347,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
348,Tax revenue rises 17% to N3.48trn in H1’23,"September05,2023"
349,How small businesses can respond to challenging economy,"September04,2023"
350,CBN liquidity buffer for banks rises 124% to N1.7trn,"September04,2023"
351,Challenges to starting a business you must avoid,"September04,2023"
352,N7.71bn rise in naira value of forex deposits shoots up money supply ,"September04,2023"
353,Stock market opens September with N536bn gains,"September04,2023"
354,Federation account revenue declines 23% in Q2’23 – NEITI,"September04,2023"
355,Output growth recovery in 2023 would remain positive – CBN,"September04,2023"
356,SEC optimistic Tinubu’s reforms’ll stimulate economy,"September04,2023"
357,"NESG, others proffer solution to boost food fortification","September04,2023"
358,OK Foods gifts N5m to winners of Pure Bliss promo,"September04,2023"
359,Businesses post huge losses despite cost-saving measures,"September03,2023"
360,"Nigeria emerges least refining OPEC member with average of 10,600 bpd in 5yrs","September02,2023"
361,"FG targets domiciliary accounts, Diaspora Nigerians’ funds","September02,2023"
362,N1.1trn Anchor Borrowers’ loan default: Tinubu orders security agencies to recover cash before Sept 18,"September02,2023"
363,"$30bn economy: UK, World Bank, Afreximbank, AFDB, others back Enugu","September02,2023"
364,"Naira gains at investors, exporters window","September01,2023"
365,Extortion: Truckers pay N40m daily at Lagos ports corridor,"September01,2023"
366,Scarcity: NNPC directs marketers to Pinnacle as pipeline’s under repair —IPMAN,"September01,2023"
367,"NESG, others proffer solution to boost food fortification","September01,2023"
368,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
369,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
370,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
371,System Collapse: TCN says power grid stable for over a year,"September01,2023"
372,Manufacturers’ confidence slides further in Q2’23,"August31,2023"
373,Nigeria’s solar energy potential higher than current consumption — Ikeja Electric,"August31,2023"
374,SMEs at UBA confab get health tips on financial decisions,"August31,2023"
375,PenCom directs PFAs to open branches in every geopolitical zone,"August31,2023"
376,Cargo delivery: Lekki Port commissions scanning machine,"August31,2023"
377,Linkage Assurance unveils third-party motor insurance variant,"August31,2023"
378,"How FG can execute roadmap for economy — NESG, OPS, others","August30,2023"
379,"Banks, insurance firms, others contribute  N1.72trn to economy","August30,2023"
380,"Adopt more fiscal measures to tame inflation, LCCI charges FG","August30,2023"
381,Zenith Bank appoints Juliet Ehimuan as Non-Executive Director,"August30,2023"
382,Investors gain N510bn as stock market hits 15-year high,"August30,2023"
383,"NPA, TTP suspend operations of virtual truck parks","August30,2023"
384,"Nigeria, Indonesia trade volume up 83% to $4.78bn","August29,2023"
385,Frenzy in capital market as NGX ASI hits 15-year high,"August29,2023"
386,We’re committed to increasing tax on beverages from 10% to 20% — FG,"August29,2023"
387,Nigeria’s oil production drops 14.69% to 1.22 mb/d — Report,"August29,2023"
388,Manufacturing sector contribution to economy falls to N1.49trn,"August29,2023"
389,"FG should revisit privatisation process —Adedeji, Geotechnics boss","August29,2023"
390,"Govt efforts failing as food imports rise 122%, deficit hits N4.9trn","August28,2023"
391,CBN’s lending to banks rises 466 % to N268bn,"November06,2023"
392,"FG’s non-compliance with laws on pension administration, violation of rights of pensioners","November06,2023"
393,"How small businesses can adopt modern strategies, survive Nigerian market","November06,2023"
394,"Weak oil production to drag GDP growth in Q3, full-year","August28,2023"
395,"FG, CBN, NNPCL: Playing forex wayo game","August28,2023"
396,Stock market sustains upward rally despite uninspiring GDP figures,"August28,2023"
397,"AfCFTA: Traditional institution, key to successful implementation —Akwara","August27,2023"
398,Naira ends week on negative note,"August26,2023"
399,Credite Capital declares N30m dividend at AGM,"August26,2023"
400,"Economists, experts, analysts warn FG on misleading unemployment report","August26,2023"
401,Unclaimed dividends in capital market hits N190bn — SEC,"August25,2023"
402,24 banks lose N9.75b in Q2 2023 as fraud rises 277%,"August25,2023"
403,Manufacturers’ confidence in economy wanes amid harsh environment — SURVEY,"August25,2023"
404,"Shippers Council, PEBEC stress need for export policies","August24,2023"
405,Dangote tops list of 50 most valuable brands in Nigeria,"August24,2023"
406,Vanguard Economic Forum Series: BoI disbursed N1.5trn to MSMEs in 8 years — Pitan,"August24,2023"
